Minggu,idol: (Indonesia),yoasobi: (Indonesia)
6/5/2022,28,3
6/12/2022,31,3
6/19/2022,29,3
6/26/2022,33,3
7/3/2022,28,3
7/10/2022,26,3
7/17/2022,26,3
7/24/2022,28,3
7/31/2022,26,3
8/7/2022,23,3
8/14/2022,21,3
8/21/2022,22,3
8/28/2022,22,3
9/4/2022,21,3
9/11/2022,21,3
9/18/2022,21,5
9/25/2022,19,5
10/2/2022,17,5
10/9/2022,19,5
10/16/2022,17,4
10/23/2022,17,4
10/30/2022,17,4
11/6/2022,18,4
11/13/2022,20,4
11/20/2022,18,4
11/27/2022,27,4
12/4/2022,18,17
12/11/2022,22,9
12/18/2022,61,7
12/25/2022,64,6
1/1/2023,67,5
1/8/2023,87,5
1/15/2023,93,5
1/22/2023,94,4
1/29/2023,83,4
2/5/2023,83,4
2/12/2023,74,4
2/19/2023,68,4
2/26/2023,85,3
3/5/2023,73,4
3/12/2023,71,4
3/19/2023,84,3
3/26/2023,83,3
4/2/2023,93,3
4/9/2023,89,5
4/16/2023,51,7
4/23/2023,47,7
4/30/2023,91,7
5/7/2023,81,6
5/14/2023,90,6
5/21/2023,100,7
5/28/2023,69,6
6/4/2023,69,6
6/11/2023,50,6
6/18/2023,40,6
6/25/2023,36,6
