Minggu,ojo: (Indonesia),koplo: (Indonesia),dibandingke: (Indonesia)
8/29/2021,11,90,0
9/5/2021,16,96,0
9/12/2021,15,93,0
9/19/2021,17,89,0
9/26/2021,16,95,0
10/3/2021,15,95,0
10/10/2021,13,93,0
10/17/2021,12,93,0
10/24/2021,11,100,0
10/31/2021,10,93,0
11/7/2021,9,96,0
11/14/2021,9,93,0
11/21/2021,9,91,0
11/28/2021,14,92,0
12/5/2021,11,88,0
12/12/2021,10,90,0
12/19/2021,9,93,0
12/26/2021,9,96,0
1/2/2022,8,93,0
1/9/2022,7,91,0
1/16/2022,7,93,0
1/23/2022,7,95,0
1/30/2022,7,91,0
2/6/2022,6,88,0
2/13/2022,6,88,0
2/20/2022,6,84,0
2/27/2022,6,85,0
3/6/2022,6,91,0
3/13/2022,6,90,0
3/20/2022,6,93,0
3/27/2022,5,90,0
4/3/2022,4,70,0
4/10/2022,4,80,0
4/17/2022,4,75,0
4/24/2022,4,83,0
5/1/2022,4,100,0
5/8/2022,3,61,0
5/15/2022,3,58,<1
5/22/2022,3,61,<1
5/29/2022,4,63,<1
6/5/2022,7,61,1
6/12/2022,8,60,1
6/19/2022,8,60,1
6/26/2022,8,60,1
7/3/2022,8,61,1
7/10/2022,9,64,1
7/17/2022,11,66,1
7/24/2022,13,70,1
7/31/2022,21,66,2
8/7/2022,22,69,3
8/14/2022,52,87,8
8/21/2022,56,77,8
8/28/2022,47,74,7
9/4/2022,39,71,5
